Title		author		category		year published		pages	
About a Silence in Literature	|	Živorad Stojković	|	Science fiction	|	1920	|	155	 /
Alice's Adventures in Wonderland	|	Lewis Carroll	|	Satire	|	1865	|	952	 /
All Quiet on the Western Front	|	Erich Maria Remarque	|	Drama	|	1929	|	495	 /
American Psycho	|	Bret Easton Ellis	|	Action and Adventure	|	1991	|	410	 /
An Area of Darkness	|	V. S. Naipaul	|	Romance	|	1964	|	207	 /
Angaray	|	Sajjad Zaheer	|	Mystery	|	1932	|	980	 /
The Anarchist Cookbook	|	William Powell	|	Horror	|	1971	|	620	 /
Animal Farm	|	George Orwell	|	Self help	|	1945	|	581	 /
Apocalypse Culture	|	Adam Parfrey	|	Health	|	1987	|	117	 /
Areopagitica	|	John Milton	|	Guide	|	1644	|	447	 /
Bad Samaritans: The Myth of Free Trade and the Secret History of Capitalism	|	Ha-Joon Chang	|	Travel	|	2008	|	793	 /
Big River, Big Sea – Untold Stories of 1949	|	Lung Ying-tai	|	Children's	|	2009	|	896	 /
Borstal Boy	|	Brendan Behan	|	Religion, Spirituality & New Age	|	1958	|	982	 /
The Boys	|	Garth Ennis	|	Science	|	2012	|	104	 /
Brave New World	|	Aldous Huxley	|	History	|	1932	|	973	 /
Burger's Daughter	|	Nadine Gordimer	|	Math	|	1979	|	1038	 /
By Grand Central Station I Sat Down and Wept	|	Elizabeth Smart	|	Anthology	|	1945	|	978	 /
Candide	|	Voltaire	|	Poetry	|	1759	|	1014	 /
The Canterbury Tales	|	Geoffrey Chaucer	|	Encyclopedias	|	1430	|	676	 /
Castration of the Wind	|	Prvoslav Vujčić	|	Dictionaries	|	1803	|	998	 /
Catch-22	|	Joseph Heller	|	Comics	|	1961	|	53	 /
The Country Girls	|	Edna O'Brien	|	Art	|	1960	|	726	 /
The Cover-up General	|	Edwin Giltay	|	Cookbooks	|	2014	|	841	 /
Curved River	|	Živojin Pavlović	|	Diaries	|	1963	|	105	 /
The Da Vinci Code	|	Dan Brown	|	Journals	|	2003	|	106	 /
The Dark	|	John McGahern	|	Prayer books	|	1965	|	942	 /
The Death of Lorca	|	Ian Gibson	|	Series	|	1971	|	649	 /
The Decameron	|	Giovanni Boccaccio	|	Trilogy	|	1353	|	222	 /
The Truth About Muhammad	|	Robert Spencer	|	Biographies	|	2006	|	434	 /
The Diary of Anne Frank	|	Anne Frank	|	Autobiographies	|	1947	|	568	 /
Dictionary of Modern Serbo-Croatian Language	|	Miloš Moskovljević	|	Fantasy	|		|	850	 /
Doctor Zhivago	|	Boris Pasternak	|	Science fiction	|	1955-1988	|	527	 /
Droll Stories	|	Honoré de Balzac	|	Satire	|	1837	|	231	 /
The Devil's Discus	|	Rayne Kruger	|	Drama	|	1964	|	660	 /
El Señor Presidente	|	Miguel Ángel Asturias	|	Action and Adventure	|	1946	|	556	 /
Ecstasy and Me	|	Hedy Lamarr	|	Romance	|	1966	|	604	 /
Elmer Gantry	|	Sinclair Lewis	|	Mystery	|	1927	|	534	 /
Fanny Hill or Memoirs of a Woman of Pleasure	|	John Cleland	|	Horror	|	1748	|	120	 /
Feast for the Seaweeds	|	Haidar Haidar	|	Self help	|	1983	|	821	 /
The Federal Mafia	|	Irwin Schiff	|	Health	|	1992	|	972	 /
Fifty Shade of Gray	|	E L James	|	Guide	|	2011	|	817	 /
Frankenstein 	|	Mary Shelley	|	Travel	|	1818	|	867	 /
The Fugitive (Perburuan) 	|	Pramoedya Ananta Toer	|	Children's	|	1950	|	151	 /
The First Circle 	|	Aleksandr Solzhenitsyn	|	Religion, Spirituality & New Age	|	1968	|	583	 /
The Gods Laugh on Mondays	|	Reza Khoshnazar	|	Science	|	1995	|	73	 /
The Grapes of Wrath 	|	John Steinbeck	|	History	|	1939	|	1030	 /
Great Soul: Mahatma Gandhi and His Struggle With India	|	Joseph Lelyveld	|	Math	|	2011	|	932	 /
Green Eggs and Ham	|	Dr. Seuss	|	Anthology	|	1960	|	875	 /
The Gulag Archipelago	|	Aleksandr Solzhenitsyn	|	Poetry	|	1973	|	766	 /
Happy New Year	|	Rubem Fonseca	|	Encyclopedias	|	1975	|	489	 /
The Heart of India	|	Alexander Campbell	|	Dictionaries	|	1958	|	286	 /
He Himself	|	Edward Cangas	|	Comics	|	1748	|	58	 /
How to make disposable silencers	|	Desert and Eliezer Flores	|	Art	|	1984	|	763	 /
Howl 	|	Allen Ginsberg	|	Cookbooks	|	1955	|	948	 /
The Hoax of the Twentieth Century	|	Arthur Butz	|	Diaries	|	1955	|	565	 /
I Didn't Do It for You: How the World Betrayed a Small African Nation	|	Michaela Wrong	|	Journals	|	2005	|	93	 /
Into the River	|	Ted Dawe	|	Prayer books	|	2012	|	407	 /
Islam – A Concept of Political World Invasion	|	R. V. Bhasin	|	Series	|	2003	|	775	 /
July's People 	|	Nadine Gordimer	|	Trilogy	|	1981	|	754	 /
